"batch.scrambled","consignment.scrambled","country.export.scrambled","country.harvest.scrambled","tonnage","year.scrambled","numPos"
1,413,5,7,20,3,0
2,1917,5,7,17,4,0
3,1293,5,7,16,3,0
4,2565,3,8,15,2,0
5,1794,2,5,17,4,0
6,129,5,8,6,4,0
7,1318,5,7,16,4,0
8,25,5,7,8,3,0
9,1210,5,7,8,4,0
10,1345,2,5,3,2,0
11,262,3,1,16,2,0
12,2675,1,4,NA,1,0
13,2385,2,5,14,2,0
14,314,1,4,7,1,0
15,861,5,7,14,3,0
16,1096,2,6,18,4,0
17,924,3,8,10,4,0
18,378,5,7,0,2,0
19,852,2,5,18,2,0
20,1999,4,3,15,1,0
21,1641,5,7,16,2,0
22,91,2,5,15,1,0
23,1056,3,8,3,1,0
24,1474,5,8,15,4,0
25,980,2,5,3,2,0
26,621,5,7,11,3,0
27,285,5,7,13,4,0
28,1677,2,5,15,2,0
29,143,3,1,16,2,0
30,1651,2,6,14,4,0
31,1804,2,5,7,3,0
32,1308,5,7,18,4,0
33,1093,5,8,15,4,0
34,540,4,6,14,2,0
35,1854,5,7,8,1,0
36,1110,2,5,14,2,0
37,9,1,4,2,1,0
38,2209,5,7,6,4,0
39,821,5,7,9,3,0
40,848,5,7,8,4,0
41,939,5,7,12,4,0
42,2306,2,3,15,2,0
43,1562,2,5,18,2,0
44,1694,5,7,8,3,0
45,1409,2,5,19,2,0
46,1776,1,4,7,1,0
47,1346,5,7,16,3,0
48,863,5,8,11,3,0
49,274,5,7,8,4,0
50,674,5,7,17,3,0
51,2569,2,5,18,2,0
52,2603,2,6,18,4,0
53,2211,2,5,20,1,0
54,2012,3,1,14,2,0
55,124,4,3,17,3,0
56,1807,5,7,11,3,0
57,1044,5,7,15,3,0
58,88,5,7,18,4,0
59,260,5,8,15,1,0
60,78,4,3,18,3,0
61,1317,2,6,6,3,0
62,1623,2,5,10,2,0
63,669,2,8,18,3,0
64,355,5,8,13,3,0
65,1446,3,8,12,1,0
66,1735,5,7,14,4,0
67,827,1,4,6,1,0
68,1779,5,8,13,4,0
69,1613,3,6,11,4,0
70,1676,2,5,14,2,0
71,1036,4,3,20,2,0
72,1331,1,4,12,1,0
73,454,5,7,18,4,0
74,1897,2,4,15,2,0
75,743,4,3,19,1,0
76,277,2,5,15,1,0
77,2358,5,8,9,1,0
78,2073,5,6,17,2,0
79,2299,4,3,17,1,0
80,361,2,5,17,4,0
81,1137,3,1,3,1,0
82,1640,5,7,8,3,0
83,2401,4,3,7,4,0
84,2624,5,7,8,4,0
85,1678,5,7,8,2,0
86,953,5,6,9,1,0
87,2076,2,5,0,3,0
88,2365,2,5,15,1,0
89,1723,3,1,3,1,0
90,909,2,5,18,1,0
91,1772,4,3,16,2,0
92,251,5,6,17,2,0
93,2075,4,3,9,2,0
94,1426,5,7,NA,1,0
95,453,4,3,17,4,0
96,1182,3,8,10,4,0
97,248,3,8,14,1,0
98,484,2,5,18,1,0
99,1846,5,7,8,3,0
100,957,5,7,17,3,0
101,369,3,8,6,2,0
102,2506,4,3,17,4,0
103,1757,5,7,7,3,0
104,1775,5,7,12,4,0
105,315,2,5,8,2,0
106,487,2,5,18,4,0
107,366,5,7,0,2,0
108,1003,5,7,18,3,0
109,396,5,7,18,4,0
110,1196,2,6,13,2,0
111,2658,3,1,9,1,0
112,1390,2,5,11,1,0
113,565,4,3,15,2,0
114,965,5,7,6,3,0
115,1930,5,7,15,3,0
116,2590,4,3,16,4,0
117,2072,3,1,16,1,0
118,448,5,7,16,3,0
119,2141,4,6,10,4,0
120,639,5,7,11,4,0
121,1325,2,5,6,2,0
122,738,2,5,15,2,0
123,1388,2,5,14,2,0
124,145,5,7,8,3,0
125,692,4,3,14,3,0
126,311,3,1,15,2,0
127,1330,5,7,18,4,0
128,1863,5,7,15,3,0
129,1889,1,4,7,1,0
130,2204,5,7,18,2,0
131,2170,4,8,NA,4,0
132,2148,2,5,17,4,0
133,2157,2,5,16,4,0
134,1597,5,7,18,3,0
135,720,2,6,18,4,0
136,1352,2,5,NA,2,0
137,94,5,7,18,3,0
138,1817,3,6,12,3,0
139,1017,5,7,15,4,0
140,727,4,3,17,2,0
141,926,4,3,17,4,0
142,2485,2,5,18,1,0
143,2224,5,7,7,3,0
144,405,5,7,8,1,0
145,2527,3,8,6,2,0
146,888,3,6,16,3,0
147,1398,2,7,5,2,0
148,300,4,3,17,4,0
149,1260,2,5,6,4,0
150,2382,5,7,6,2,0
151,3,4,3,18,3,0
152,1555,2,5,15,4,0
153,2623,5,7,8,3,0
154,856,3,6,13,2,0
155,914,2,5,16,4,0
156,115,5,6,8,2,0
157,226,5,7,15,3,0
158,2466,4,3,18,4,0
159,713,2,5,15,4,2
160,805,4,8,14,2,0
161,830,5,7,16,3,0
162,426,5,7,14,3,0
163,246,4,3,18,2,0
164,2004,4,6,16,1,0
165,2357,5,8,NA,3,0
166,736,5,7,2,3,0
167,1978,2,5,18,4,0
168,1136,4,3,15,2,0
169,254,2,6,15,3,0
170,2663,4,6,6,2,0
171,1989,5,8,13,3,0
172,1862,5,8,8,1,0
173,2654,5,7,14,3,0
174,1118,5,7,8,1,0
175,1516,3,1,14,2,0
176,207,5,7,8,3,0
177,1274,5,7,6,3,0
178,1121,5,7,7,3,0
179,2602,2,5,8,2,0
180,1336,5,7,18,2,0
181,808,5,7,8,3,0
182,1460,5,7,6,1,0
183,1164,5,7,18,3,0
184,1831,4,3,14,1,0
185,1745,5,7,12,2,0
186,382,4,6,7,2,0
187,2215,4,3,17,1,0
188,2640,2,2,16,4,0
189,2185,5,7,8,3,0
190,1248,5,7,8,3,0
191,1501,3,1,13,2,0
192,2548,5,7,14,4,0
193,263,5,7,6,3,0
194,1692,2,5,18,1,0
195,1476,2,6,13,1,0
196,362,5,7,3,3,0
197,1447,5,7,7,3,0
198,579,2,2,16,4,0
199,2111,5,7,13,4,0
200,816,5,7,NA,3,0
201,1970,3,8,6,3,0
202,175,5,7,8,4,0
203,1422,2,5,12,4,0
204,389,5,7,7,4,0
205,1552,5,7,13,4,0
206,2316,5,7,18,2,0
207,1495,3,8,8,3,0
208,1221,3,6,14,2,0
209,2643,2,5,15,2,0
210,2353,2,6,4,4,0
211,421,5,7,18,4,0
212,837,5,7,13,4,0
213,800,2,5,17,2,0
214,2189,5,7,9,4,0
215,2330,5,7,9,3,0
216,2244,4,3,20,1,0
217,1000,5,7,NA,3,0
218,655,4,3,15,1,0
219,1051,3,1,13,2,0
220,1250,2,5,18,3,0
221,2441,2,6,20,1,0
222,505,4,6,14,2,0
223,465,2,5,15,1,0
224,1077,5,8,13,3,0
225,73,5,7,16,4,0
226,2589,4,6,3,2,0
227,2612,5,7,15,3,0
228,1903,2,5,1,2,0
229,286,4,3,18,4,0
230,2502,2,5,18,2,0
231,1286,3,6,11,2,0
232,2363,2,5,17,2,0
233,2062,3,8,6,3,0
234,1994,5,7,15,3,0
235,1490,4,3,18,3,0
236,499,2,5,10,2,0
237,1258,5,8,3,1,0
238,1693,5,7,18,4,0
239,1074,2,5,17,2,0
240,1359,4,3,2,4,0
241,1946,2,5,18,4,0
242,1844,3,6,14,4,0
243,868,5,7,8,2,0
244,2484,4,3,17,4,0
245,1859,5,7,8,3,0
246,1749,5,7,2,3,0
247,2435,2,6,18,4,0
248,1898,5,7,14,4,0
249,1145,5,7,17,4,0
250,1737,2,5,16,3,0
251,2043,2,5,7,4,0
252,732,2,5,13,4,0
253,1526,2,5,16,4,0
254,1509,2,5,8,1,0
255,1235,5,7,16,3,0
256,45,5,7,13,3,0
257,2451,5,7,8,4,0
258,2655,5,7,16,3,0
259,2600,4,3,14,3,0
260,1117,5,7,8,4,0
261,826,5,7,18,3,0
262,2208,5,7,13,3,0
263,2396,3,8,5,4,0
264,612,2,5,15,1,0
265,2283,5,7,14,3,0
266,50,5,7,8,1,0
267,2464,5,7,18,1,0
268,1572,2,5,5,2,0
269,397,4,3,7,2,0
270,1371,4,6,3,4,0
271,211,5,8,8,2,0
272,1081,4,6,11,1,0
273,2567,4,3,17,1,0
274,2277,4,3,17,3,0
275,1236,5,7,6,4,0
276,407,5,7,14,4,0
277,303,5,7,16,3,0
278,1389,2,5,17,1,0
279,1416,2,5,17,3,0
280,2287,2,4,13,2,0
281,666,5,7,17,3,0
282,2044,2,5,13,2,2
283,456,5,7,8,2,0
284,1635,5,7,18,3,0
285,859,5,7,13,4,0
286,292,5,8,14,2,0
287,2202,5,7,18,3,0
288,2471,5,7,14,3,0
289,1950,5,7,6,3,0
290,377,5,8,12,1,0
291,375,3,1,7,2,0
292,1545,5,7,13,3,0
293,1484,2,2,14,4,0
294,59,5,7,8,2,0
295,2021,3,6,17,1,0
296,673,3,8,9,2,0
297,2297,3,8,6,1,0
298,146,4,8,10,4,0
299,1792,5,7,8,2,0
300,1348,3,8,6,1,0
301,1746,3,8,6,4,0
302,2641,5,7,16,3,0
303,2386,5,7,12,4,0
304,182,5,7,6,2,0
305,294,5,7,18,3,0
306,1372,5,7,8,3,0
307,2282,5,7,NA,3,0
308,1723,3,1,13,1,0
309,719,5,7,18,3,0
310,377,5,8,NA,1,0
311,155,5,7,NA,2,0
312,351,5,7,14,4,0
313,2063,4,6,14,2,0
314,2438,3,8,0,3,0
315,1995,5,7,17,3,0
316,1029,2,5,15,1,0
317,915,5,7,11,4,0
318,1132,5,7,17,4,0
319,508,5,7,8,2,0
320,1710,5,7,15,2,3
321,1852,2,5,18,1,0
322,1782,4,3,16,2,0
323,1347,5,7,13,3,0
324,2018,4,3,17,3,0
325,2499,5,7,13,3,0
326,699,5,7,14,3,0
327,2265,5,6,7,1,0
328,1485,4,3,16,2,0
329,658,5,6,17,1,0
330,108,5,7,13,3,0
331,47,5,8,13,3,0
332,1311,5,7,8,3,0
333,2490,5,7,8,2,0
334,1360,5,7,8,4,0
335,737,4,6,7,1,0
336,908,5,7,8,4,0
337,1611,2,5,7,4,0
338,1742,5,7,18,3,0
339,840,5,7,17,2,0
340,241,5,7,8,1,0
341,771,5,8,17,3,0
342,2146,5,7,8,3,0
343,2470,5,7,16,3,0
344,568,4,3,17,4,0
345,71,2,5,14,2,0
346,2356,5,7,7,3,0
347,1902,3,1,6,3,0
348,1543,4,3,6,3,0
349,1148,5,7,13,3,0
350,2593,5,7,8,2,0
351,812,4,3,20,1,0
352,2078,5,7,11,2,9
353,220,5,7,9,3,0
354,171,2,5,6,3,0
355,1665,5,7,8,3,0
356,1219,5,8,NA,1,0
357,224,5,7,15,3,0
358,200,1,4,NA,1,0
359,1226,5,7,20,4,0
360,164,2,5,15,2,0
361,2409,2,6,13,1,0
362,882,5,7,9,3,0
363,725,2,5,17,2,0
364,491,5,7,18,3,0
365,1456,2,5,20,2,0
366,1431,5,7,18,3,0
367,525,4,3,17,2,0
368,2434,2,5,5,4,0
369,1514,5,7,13,3,0
370,1276,5,7,14,4,0
371,637,5,7,6,2,0
372,596,2,5,7,3,0
373,1961,5,7,12,4,1
374,2465,3,1,7,3,0
375,1033,2,5,17,4,0
376,1301,4,6,8,2,0
377,1858,5,7,8,3,0
378,2337,3,6,14,3,0
379,1365,3,1,15,2,0
380,625,5,7,18,3,0
381,85,5,7,0,2,0
382,879,5,8,NA,1,0
383,1971,5,7,14,3,0
384,587,5,7,8,3,0
385,1634,5,7,14,1,0
386,2104,5,7,14,4,0
387,1340,5,7,7,4,0
388,2627,4,3,18,4,0
389,1005,5,7,6,3,0
390,141,4,3,17,2,0
391,818,4,6,NA,2,0
392,1653,5,7,16,3,0
393,945,1,4,NA,1,0
394,2084,2,5,15,4,0
395,470,5,7,18,3,0
396,2055,5,7,13,3,0
397,1789,5,7,12,4,0
398,191,5,7,3,2,1
399,122,5,7,18,3,0
400,875,2,5,NA,3,0
401,2562,5,7,13,3,0
402,590,4,3,17,2,0
403,2314,3,1,15,2,0
404,2096,5,7,6,3,0
405,679,5,8,13,2,0
406,1376,5,7,8,2,0
407,1872,5,7,17,3,0
408,2592,5,7,14,4,0
409,2196,5,7,18,4,0
410,2286,2,5,15,2,0
411,464,2,5,14,2,0
412,201,4,3,18,3,0
413,1289,5,7,NA,2,0
414,724,1,4,NA,1,0
415,649,5,7,8,3,0
416,2219,2,2,14,2,0
417,1144,3,6,11,4,0
418,2116,5,7,13,2,0
419,684,2,5,14,2,0
420,1753,5,6,17,2,0
421,2436,5,7,17,3,0
422,789,3,1,14,2,0
423,1351,2,1,14,2,0
424,820,5,6,0,1,0
425,586,5,7,8,3,0
426,642,5,7,6,3,0
427,2318,5,7,8,3,0
428,785,3,8,6,4,0
429,2342,4,3,18,1,0
430,1037,2,5,7,1,0
431,896,5,7,13,4,0
432,884,5,7,7,4,0
433,1809,2,5,14,2,0
434,2587,5,7,7,3,0
435,2507,5,7,8,4,0
436,758,2,5,13,4,0
437,353,2,5,17,4,0
438,776,5,7,7,3,0
439,1205,5,7,15,3,0
440,2125,2,5,14,2,0
441,1262,3,8,6,3,0
442,27,5,7,7,3,0
443,1282,5,7,14,3,0
444,1140,4,3,18,4,0
445,2492,5,6,13,2,0
446,2109,3,8,10,4,0
447,506,1,4,7,1,0
448,2119,4,3,10,1,0
449,956,5,8,14,3,0
450,1983,4,3,17,3,0
451,1400,5,6,17,2,0
452,2176,2,6,2,1,0
453,2375,5,7,15,3,0
454,931,2,5,7,2,0
455,331,2,5,18,1,0
456,1189,2,5,20,2,0
457,249,2,5,16,4,0
458,2257,5,7,8,3,4
459,2053,3,1,6,3,0
460,2407,5,7,13,3,0
461,1482,5,7,8,4,0
462,1796,2,5,15,1,0
463,192,2,6,17,3,0
464,367,5,7,13,3,0
465,1037,2,5,8,1,0
466,128,5,7,6,3,0
467,2030,5,7,17,3,0
468,399,2,5,18,1,0
469,1103,5,7,5,4,0
470,503,4,3,18,4,0
471,2452,5,7,6,3,0
472,2520,5,7,8,1,0
473,1525,2,5,3,1,0
474,1266,5,7,18,4,0
475,2217,5,7,8,4,0
476,384,2,5,20,1,0
477,1361,2,5,18,4,0
478,170,3,6,11,3,0
479,216,5,7,8,3,0
480,2183,2,6,13,1,0
481,2458,5,7,8,2,0
482,1126,5,7,13,3,0
483,423,3,8,6,1,0
484,634,5,7,18,3,0
485,735,5,7,NA,3,0
486,905,5,7,15,3,0
487,1551,5,7,8,2,0
488,627,5,7,8,3,0
489,1644,4,3,17,2,0
490,451,5,7,8,2,0
491,822,4,3,17,1,0
492,339,4,3,20,1,0
493,1591,5,7,NA,3,0
494,217,5,7,16,3,0
495,2439,4,3,7,3,0
496,1475,5,7,8,2,0
497,855,2,5,14,2,0
498,1944,4,3,14,3,0
499,610,2,5,11,4,0
500,2495,5,8,13,4,0
501,2442,5,7,7,2,0
502,1070,3,8,6,4,0
503,660,4,3,20,1,0
504,827,1,4,9,1,0
505,912,5,7,16,2,0
506,1848,5,6,14,2,0
507,1768,5,7,13,4,0
508,2393,4,6,6,1,0
509,2288,2,5,17,2,0
510,2373,5,7,14,2,0
511,1845,5,7,18,3,0
512,1399,2,5,17,1,0
513,335,5,7,13,4,0
514,178,4,3,19,1,0
515,2447,5,7,7,3,0
516,293,5,7,17,3,0
517,23,2,5,9,1,0
518,69,5,8,16,2,0
519,2604,4,6,10,1,0
520,1525,2,5,12,1,0
521,64,5,8,NA,2,0
522,932,4,3,17,2,0
523,558,5,7,15,3,0
524,1829,2,2,14,4,0
525,131,5,8,15,1,0
526,2424,2,5,18,2,0
527,2561,3,1,14,2,0
528,1039,2,2,14,4,0
529,2273,5,7,14,3,0
530,1394,2,5,15,3,0
531,245,5,7,7,3,0
532,168,5,7,8,3,0
533,267,5,7,18,2,0
534,2095,4,3,12,2,0
535,817,3,8,6,4,0
536,1211,1,4,13,4,0
537,2428,5,7,14,4,0
538,1298,4,3,14,4,0
539,2461,3,8,7,1,0
540,2124,2,5,14,2,0
541,2636,3,1,6,2,0
542,533,2,5,8,4,0
543,1875,5,7,10,4,0
544,513,5,7,16,3,0
545,2248,5,7,7,3,0
546,979,5,7,8,2,0
547,2457,2,5,17,2,0
548,338,5,7,14,4,0
549,562,2,2,16,2,0
550,427,4,6,NA,2,0
551,2528,5,7,15,3,0
552,2357,5,8,14,3,0
553,134,4,3,15,2,0
554,1212,5,7,18,4,0
555,2503,2,5,18,2,0
556,2036,5,7,14,3,0
557,1040,5,7,8,3,0
558,2250,2,5,9,1,0
559,1600,2,5,17,2,0
560,2609,5,7,12,2,0
561,1230,4,3,17,2,0
562,481,5,7,15,3,0
563,2177,2,5,14,2,0
564,1541,3,1,16,4,0
565,2610,5,7,7,3,0
566,1043,5,7,8,3,0
567,1012,2,5,14,2,0
568,416,2,5,5,1,0
569,646,3,1,14,2,0
570,2645,4,3,15,2,0
571,2525,5,7,7,4,0
572,2127,3,8,11,1,0
573,753,2,5,15,4,0
574,923,1,4,7,1,0
575,2105,4,3,15,2,0
576,1592,3,1,15,2,0
577,1538,5,7,18,4,0
578,1538,5,7,18,4,0
579,1314,2,5,16,4,0
580,151,3,8,12,1,0
581,2546,4,3,16,2,0
582,880,3,6,17,1,0
583,704,4,3,18,3,0
584,781,5,7,8,2,0
585,2581,5,7,11,4,0
586,1429,3,8,11,2,0
587,195,5,7,8,3,0
588,1313,5,7,12,4,0
589,1599,3,8,14,1,0
590,114,3,8,6,3,0
591,1504,4,6,16,1,0
592,1084,3,1,10,1,0
593,1765,2,5,15,2,0
594,1974,5,7,8,3,0
595,240,5,7,11,4,0
596,2351,2,5,18,3,0
597,2333,2,5,9,1,0
598,1890,3,1,9,2,0
599,1987,4,3,17,1,0
600,1448,2,5,20,2,0
601,1414,4,3,19,1,0
602,1556,2,5,20,1,0
603,1142,2,6,13,1,0
604,1111,2,5,17,2,0
605,18,1,4,7,1,0
606,1025,5,7,8,1,0
607,1433,5,7,NA,3,0
608,1668,5,7,12,4,0
609,1709,5,7,8,4,0
610,2517,5,7,9,3,0
611,712,3,6,11,3,0
612,1054,2,5,12,2,0
613,618,2,5,18,4,0
614,876,5,7,8,3,0
615,9,1,4,5,1,0
616,867,5,7,12,3,0
617,1078,5,7,6,4,0
618,1185,5,7,13,3,0
619,68,5,7,8,3,0
620,1739,5,7,13,2,0
621,1241,2,5,17,2,0
622,445,5,7,8,3,0
623,302,4,3,18,4,0
624,398,5,7,14,3,0
625,668,4,3,17,3,0
626,759,5,7,8,3,0
627,607,2,5,8,4,0
628,695,5,7,8,3,0
629,379,5,7,11,4,0
630,2367,2,5,17,4,0
631,1108,5,7,8,4,0
632,21,5,8,15,2,0
633,561,2,5,NA,2,0
634,1674,5,8,14,2,0
635,1232,5,7,13,3,0
636,289,2,5,15,1,0
637,1097,2,5,15,2,0
638,247,2,1,14,2,0
639,539,4,6,9,2,0
640,11,2,5,18,2,3
641,779,2,5,16,4,0
642,459,4,3,14,3,0
643,1489,5,7,13,4,0
644,773,1,4,7,1,0
645,2266,5,8,15,2,0
646,408,5,7,7,3,0
647,686,5,7,14,4,0
648,796,5,7,7,3,0
649,2172,2,5,14,3,0
650,1992,5,7,18,3,0
651,232,4,3,20,4,0
652,920,5,8,2,3,0
653,1519,4,6,6,2,0
654,749,5,7,18,2,0
655,1568,3,1,16,2,0
656,229,3,6,16,3,0
657,969,5,7,14,4,0
658,1363,5,7,9,4,0
659,2226,5,7,7,3,0
660,927,5,6,4,1,0
661,399,2,5,NA,1,0
662,1937,5,7,18,1,0
663,584,4,6,18,1,0
664,1929,4,3,17,2,0
665,1125,2,5,15,2,0
666,2195,5,7,14,3,0
667,1857,5,8,14,3,0
668,2411,5,7,12,4,0
669,329,5,7,13,3,0
670,1866,5,7,18,3,0
671,1403,4,8,11,1,0
672,772,5,7,8,1,0
673,237,5,7,8,2,0
674,2214,5,8,6,4,0
675,1813,2,5,2,4,0
676,1009,2,5,17,2,0
677,1439,5,7,8,3,0
678,527,2,5,4,2,0
679,1900,2,7,17,2,0
680,416,2,5,10,1,0
681,717,3,6,11,4,0
682,2671,5,7,8,3,0
683,1374,5,7,14,4,0
684,1513,5,7,3,3,0
685,802,3,1,15,2,0
686,745,2,5,18,2,0
687,787,5,7,7,4,0
688,1550,5,7,8,4,0
689,255,2,5,18,2,0
690,2354,5,8,15,2,0
691,2381,2,5,8,4,0
692,1042,5,7,7,3,0
693,1681,2,6,14,4,0
694,1116,4,6,17,1,0
695,670,2,5,15,2,0
696,747,5,7,18,2,0
697,469,5,7,6,3,0
698,2164,2,5,17,2,0
699,1614,3,1,13,2,0
700,2069,2,5,15,1,0
701,1975,5,7,8,3,6
702,411,5,8,7,1,0
703,2509,4,6,NA,1,0
704,1228,5,7,15,3,0
705,2361,3,1,12,4,0
706,1798,3,1,14,4,0
707,1559,5,7,1,3,0
708,887,5,7,6,3,0
709,1825,5,8,15,1,0
710,791,5,7,16,1,0
711,1806,4,3,11,4,0
712,2002,5,7,16,4,0
713,2335,2,5,17,4,0
714,2541,5,6,18,2,0
715,328,2,5,20,1,0
716,2137,2,5,9,1,0
717,1540,5,7,16,4,0
718,299,4,3,17,4,0
719,2529,1,4,NA,1,0
720,2059,5,7,7,3,0
721,1766,4,6,11,1,0
722,1645,3,8,5,4,0
723,347,2,5,17,3,0
724,1238,5,7,7,3,0
725,680,3,8,6,1,0
726,945,1,4,7,1,0
727,768,3,1,15,2,0
728,345,5,7,8,2,0
729,511,2,5,16,4,0
730,564,2,5,15,4,2
731,2339,2,5,13,2,0
732,2054,5,8,13,1,0
733,393,4,3,7,3,0
734,1535,5,7,8,3,0
735,1165,2,5,2,1,0
736,2364,5,7,14,3,0
